A,B,C
0x0003, 0x0039, 0xffffffff
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x00000252
0x0003, 0x0036, 0x000001f8
0x0003, 0x0030, 0x00000002
0x0003, 0x0032, 0x0000000a
0x0003, 0x0039, 0x00000000
0x0000, 0x0000, 0x00000000
0x0003, 0x0035, 0x00000000
0x0003, 0x0036, 0x00000000
0x0003, 0x0030, 0x00000000
0x0003, 0x0039, 0xffffffff
0x0000, 0x0000, 0x00000000
0x0003, 0x0035, 0x000001ee
0x0003, 0x0036, 0x000001f8
0x0003, 0x0030, 0x00000003
0x0003, 0x0039, 0x00000000
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002b6
0x0003, 0x0036, 0x000001f8
0x0003, 0x0030, 0x00000004
0x0003, 0x0032, 0x0000000a
0x0003, 0x0039, 0x00000001
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001e4
0x0003, 0x0030, 0x00000005
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002c0
0x0003, 0x0030, 0x00000006
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001da
0x0003, 0x0030, 0x00000007
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002ca
0x0003, 0x0030, 0x00000008
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001d0
0x0003, 0x0030, 0x00000009
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002d4
0x0003, 0x0030, 0x0000000a
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001c6
0x0003, 0x0030, 0x0000000b
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002de
0x0003, 0x0030, 0x0000000c
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001bc
0x0003, 0x0030, 0x0000000d
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002e8
0x0003, 0x0030, 0x0000000e
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001b2
0x0003, 0x0030, 0x0000000f
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002f2
0x0003, 0x0030, 0x00000010
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x000001a8
0x0003, 0x0030, 0x00000001
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x000002fc
0x0003, 0x0030, 0x00000002
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x0000019e
0x0003, 0x0030, 0x00000003
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x00000306
0x0003, 0x0030, 0x00000004
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x00000194
0x0003, 0x0030, 0x00000005
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x00000310
0x0003, 0x0030, 0x00000006
0x0000, 0x0000, 0x00000000
0x0003, 0x002f, 0x00000000
0x0003, 0x0035, 0x00000000
0x0003, 0x0036, 0x00000000
0x0003, 0x0030, 0x00000000
0x0003, 0x0039, 0xffffffff
0x0003, 0x002f, 0x00000001
0x0003, 0x0035, 0x00000000
0x0003, 0x0036, 0x00000000
0x0003, 0x0030, 0x00000000
0x0003, 0x0039, 0xffffffff
0x0000, 0x0000, 0x00000000
